Date;jour de la semaine;Congé;Férié;Students_Holidays_NL;Students_Holidays_FR
02-03-24;6;Congé de détente;;;1
03-03-24;7;Congé de détente;;;1
04-03-24;1;Congé de détente;;;1
05-03-24;2;Congé de détente;;;1
06-03-24;3;Congé de détente;;;1
07-03-24;4;Congé de détente;;;1
08-03-24;5;Congé de détente;;;1
01-04-24;1;Congé de Pâques/lundi de paques;1;1;1
02-04-24;2;Congé de Paques;;1;
03-04-24;3;Congé de Paques;;1;
04-04-24;4;Congé de Paques;;1;
05-04-24;5;Congé de Paques;;1;
06-04-24;6;Congé de Paques;;1;
07-04-24;7;Congé de Paques;;1;
08-04-24;1;Congé de Paques;;1;
09-04-24;2;Congé de Paques;;1;
10-04-24;3;Congé de Paques;;1;
11-04-24;4;Congé de Paques;;1;
12-04-24;5;Congé de Paques;;1;
13-04-24;6;Congé de Paques;;1;
14-04-24;7;Congé de Paques;;1;
29-04-24;1;Vacances de Printemps;;;1
30-04-24;2;Vacances de Printemps;;;1
01-05-24;3;Vacances de Printemps/fete du travail;1;1;1
02-05-24;4;Vacances de Printemps;;;1
03-05-24;5;Vacances de Printemps;;;1
04-05-24;6;Vacances de Printemps;;;1
05-05-24;7;Vacances de Printemps;;;1
06-05-24;1;Vacances de Printemps;;;1
07-05-24;2;Vacances de Printemps;;;1
08-05-24;3;Vacances de Printemps;;;1
09-05-24;4;Vacances de Printemps/Ascension;1;1;1
10-05-24;5;Vacances de Printemps;;;1
20-05-24;1;Pentecôte;1;1;1
01-07-24;1;Vacances d'été;;1;
02-07-24;2;Vacances d'été;;1;
03-07-24;3;Vacances d'été;;1;
04-07-24;4;Vacances d'été;;1;
05-07-24;5;Vacances d'été;;1;
06-07-24;6;Vacances d'été;;1;1
07-07-24;7;Vacances d'été;;1;1
08-07-24;1;Vacances d'été;;1;1
09-07-24;2;Vacances d'été;;1;1
10-07-24;3;Vacances d'été;;1;1
11-07-24;4;Vacances d'été;;1;1
12-07-24;5;Vacances d'été;;1;1
13-07-24;6;Vacances d'été;;1;1
14-07-24;7;Vacances d'été;;1;1
15-07-24;1;Vacances d'été;;1;1
16-07-24;2;Vacances d'été;;1;1
17-07-24;3;Vacances d'été;;1;1
18-07-24;4;Vacances d'été;;1;1
19-07-24;5;Vacances d'été;;1;1
20-07-24;6;Vacances d'été;;1;1
21-07-24;7;Vacances d'été;1;1;1
22-07-24;1;Vacances d'été;;1;1
23-07-24;2;Vacances d'été;;1;1
24-07-24;3;Vacances d'été;;1;1
25-07-24;4;Vacances d'été;;1;1
26-07-24;5;Vacances d'été;;1;1
27-07-24;6;Vacances d'été;;1;1
28-07-24;7;Vacances d'été;;1;1
29-07-24;1;Vacances d'été;;1;1
30-07-24;2;Vacances d'été;;1;1
31-07-24;3;Vacances d'été;;1;1
01-08-24;4;Vacances d'été;;1;1
02-08-24;5;Vacances d'été;;1;1
03-08-24;6;Vacances d'été;;1;1
04-08-24;7;Vacances d'été;;1;1
05-08-24;1;Vacances d'été;;1;1
06-08-24;2;Vacances d'été;;1;1
07-08-24;3;Vacances d'été;;1;1
08-08-24;4;Vacances d'été;;1;1
09-08-24;5;Vacances d'été;;1;1
10-08-24;6;Vacances d'été;;1;1
11-08-24;7;Vacances d'été;;1;1
12-08-24;1;Vacances d'été;;1;1
13-08-24;2;Vacances d'été;;1;1
14-08-24;3;Vacances d'été;;1;1
15-08-24;4;Vacances d'été;1;1;1
16-08-24;5;Vacances d'été;;1;1
17-08-24;6;Vacances d'été;;1;1
18-08-24;7;Vacances d'été;;1;1
19-08-24;1;Vacances d'été;;1;1
20-08-24;2;Vacances d'été;;1;1
21-08-24;3;Vacances d'été;;1;1
22-08-24;4;Vacances d'été;;1;1
23-08-24;5;Vacances d'été;;1;1
24-08-24;6;Vacances d'été;;1;1
25-08-24;7;Vacances d'été;;1;1
26-08-24;1;Vacances d'été;;1;
27-08-24;2;Vacances d'été;;1;
28-08-24;3;Vacances d'été;;1;
29-08-24;4;Vacances d'été;;1;
30-08-24;5;Vacances d'été;;1;
